DN;Variant;Element;Type;EndPoint1;EndPoint2;CentrePoint
100;V2;pipe;FREM;0 598 -69.55;0 0 -69.65;
100;V2;pipe;FREM;198.5 750 0.05;650 750 0.05;
100;V2;elbow;RETUR;140.4 1150 11.55;0 998 69.65;0 1150 69.65
100;V2;elbow;RETUR;140.4 1150 11.55;198.5 1150 0.05;168.3 1150 0.05
100;V2;pipe;RETUR;0 998 69.65;0 0 69.65;
100;V2;pipe;RETUR;650 1150 0.05;198.5 1150 0.05;
100;V3;elbow;FREM;509.5 1150 -11.45;650 998 -69.55;650 1150 -69.55
100;V3;elbow;FREM;509.5 1150 -11.45;451.4 1150 0.05;481.6 1150 0.05
100;V3;pipe;FREM;650 998 -69.55;650 0 -69.65;
100;V3;pipe;FREM;451.4 1150 0.05;0 1150 0.05;
100;V3;elbow;RETUR;509.5 750 11.55;650 598 69.65;650 750 69.65
100;V3;elbow;RETUR;509.5 750 11.55;451.4 750 0.05;481.6 750 0.05
100;V3;pipe;RETUR;650 598 69.65;650 0 69.65;
100;V3;pipe;RETUR;451.4 750 0.05;0 750 0.05;
100;V4;elbow;FREM;509.5 750 -11.45;650 598 -69.55;650 750 -69.55
100;V4;elbow;FREM;509.5 750 -11.45;451.4 750 0.05;481.6 750 0.05
100;V4;pipe;FREM;650 0 -69.65;650 598 -69.55;
100;V4;pipe;FREM;0 750 0.05;451.4 750 0.05;
100;V4;elbow;RETUR;509.5 1150 11.55;650 998 69.65;650 1150 69.65
100;V4;elbow;RETUR;509.5 1150 11.55;451.4 1150 0.05;481.6 1150 0.05
100;V4;pipe;RETUR;650 0 69.65;650 998 69.65;
100;V4;pipe;RETUR;0 1150 0.05;451.4 1150 0.05;
80;V1;elbow;FREM;103.9 1000 -10.1;0 886 -57;0 1000 -57
80;V1;elbow;FREM;103.9 1000 -10.1;150.8 1000 0;126.2 1000 0
80;V1;pipe;FREM;0 0 -57;0 886 -57;
80;V1;pipe;FREM;150.8 1000 0;600 1000 0;
80;V1;elbow;RETUR;103.9 640 10.1;0 526 56.9;0 640 56.9
80;V1;elbow;RETUR;103.9 640 10.1;150.8 640 0;126.2 640 0
80;V1;pipe;RETUR;0 526 56.9;0 0 57;
80;V1;pipe;RETUR;150.8 640 0;600 640 0;
80;V2;elbow;FREM;103.9 640 -10.1;0 526 -56.9;0 640 -56.9
80;V2;elbow;FREM;103.9 640 -10.1;150.8 640 0;126.2 640 0
80;V2;pipe;FREM;0 0 -57;0 526 -56.9;
80;V2;pipe;FREM;600 640 0;150.8 640 0;
80;V2;elbow;RETUR;103.9 1000 10.1;0 886 56.9;0 1000 56.9
80;V2;elbow;RETUR;103.9 1000 10.1;150.8 1000 0;126.2 1000 0
80;V2;pipe;RETUR;0 886 56.9;0 0 57;
80;V2;pipe;RETUR;150.8 1000 0;600 1000 0;
80;V3;elbow;FREM;496.1 1000 -10.1;600 886 -57;600 1000 -57
80;V3;elbow;FREM;496.1 1000 -10.1;449.3 1000 0;473.8 1000 0
80;V3;pipe;FREM;600 886 -57;600 0 -57;
80;V3;pipe;FREM;449.3 1000 0;0 1000 0;
80;V3;elbow;RETUR;496.1 640 10.1;600 526 56.9;600 640 56.9
80;V3;elbow;RETUR;496.1 640 10.1;449.3 640 0;473.8 640 0
80;V3;pipe;RETUR;600 526 56.9;600 0 57;
80;V3;pipe;RETUR;0 640 0;449.3 640 0;
80;V4;elbow;FREM;496.1 640 -10.1;600 526 -56.9;600 640 -56.9
80;V4;elbow;FREM;496.1 640 -10.1;449.3 640 0;473.8 640 0
80;V4;pipe;FREM;600 526 -56.9;600 0 -57;
80;V4;pipe;FREM;449.3 640 0;0 640 0;
80;V4;elbow;RETUR;496.1 1000 10.1;600 886 56.9;600 1000 56.9
80;V4;elbow;RETUR;496.1 1000 10.1;449.3 1000 0;473.8 1000 0
80;V4;pipe;RETUR;600 886 56.9;600 0 57;
80;V4;pipe;RETUR;0 1000 0;449.3 1000 0;
65;V1;elbow;FREM;86.4 1000 -8.6;0 905 -48.1;0 1000 -48.1
65;V1;elbow;FREM;86.4 1000 -8.6;125.8 1000 0;105.2 1000 0
65;V1;pipe;FREM;0 0 -48.1;0 905 -48.1;
